_id,event_name,recurrence,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,event_phone,event_narrative,schedule,holiday_exception
1,Wellspring Recovery Group,recurring,Wellspring Drop-in Center,Uptown,"903 Watson St, PA, 15219",40.438492,-79.991555,Pittsburgh Mercy Health System,activities|health,all those recovering from addiction,"none, walk-ins welcome",412-263-2545,Wellspring's recovery group meets weekly to offer support and counseling to those with addiction issues.,Mon - Thurs:  11am,
2,Wellspring Open Studio,recurring,Wellspring Drop-in Center,Uptown,"903 Watson St, PA, 15219",40.438492,-79.991555,Pittsburgh Mercy Health System,activities,all,none,412-263-2545,Wellspring Drop-In Center operates an Open Studio art program.  Walk-ins welcome.,Wed: 1:30pm - 3:30pm; Fri: 10am - 4pm,
3,KidsVoice Legal Q&A,recurring,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,finances,individuals age 24 and younger who have former or current involvement in the Allegheny County Juvenile Dependency System.,individuals eligible to receive services at the 412 Youth Zone,412-902-4068,"At the 412 Youth Zone, KidsVoice can provide resources, information and referrals for individuals who need legal assistance.  KidsVoice also has the ability to provide limited representation for their former clients, up to age 25, for a variety of legal matters, including expungements, summary offenses, name changes, public benefit assistance, SSI applications and SSI appeals.",Thu: 12:30pm,
4,Art Expressions,recurring,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,activities,all youth engaged with the 412 Youth Zone,ages 16 - 23,412-902-4068,"Art program at the Youth Zone, no prior experience needed, walk-ins welcome.","Fri, 2/21: 2pm; Fri, 2/28: 12:30pm",
5,Cooking Workshop,recurring,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,expert-lookup,all youth engaged with the 412 youth zone,ages 16 - 24,412-902-4068,Learn how to shop for cooking purposes and then prepare healthy and delicious foods,Wed 5/9: 1pm,
6,Opportunity Passport,recurring,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,expert-lookup,all youth engaged with the 412 Youth Zone,ages 16 - 23,412-902-4068,A package of resources aimed at advancing the economic well-being of young people transitioning from foster care to adulthood.,"Wed, 2/12: 3:30pm; Wed, 2/26: 3:30pm",
7,Lab Ratz Science Workshop,recurring,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,activities,all youth engaged with the 412 Youth Zone,ages 16 - 23,412-902-4068,"Gain a perspective of science that promotes curiosity, problem-solving, and discovery.","Thu, 2/13: 3pm",
8,Parents in the Know,recurring,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,expert-lookup,all youth engaged with the 412 Youth Zone who are parents or expecting parents or who just want to learn about parenting,ages 16 - 24,412-902-4068,,Thu 5/10: 11:30am - 1pm; Thu 5/17: 11:30am - 1pm; Thu 5/24: 11:30am - 1pm,
9,Financial Opportunity Center at Pleasant Valley Men's Shelter,recurring,Pleasant Valley Men's Shelter,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,North Side Common Ministries,expert-lookup,all,none,412-321-4272,Walk-in service every weekday (closed Sept. 5) for help with employment searching.,Mon - Fri: noon - 3pm,
10,Persad Tues/Thurs Safe Spaces,recurring,Persad Center,Lawrenceville,"5301 Butler St, STE 100, PA, 15201",40.48183,-79.953257,Persad Center,activities|roof-daytime,LGBTQIA youth 21 and under,none,412-441-4978,"Welcoming hang-out for young LGBTQ - Counselor-monitored, Group Activities, Computer/Wifi Access, etc. Bus tickets are available to those who need them.  Generally this is under 21 (high school/college) but we don’t turn folks away who are close to that age range. , with computers, workshops, counseling.  Laundry and shower available.  Every Tue and Thu, 3pm - 9pm",Tues/Thurs:  3pm - 9pm,
11,Allegheny Link,recurring,412 Youth Zone,Downtown,"304 Wood St, 6th Floor, PA, 15219",40.438983,-80.001358,Auberle,expert-lookup|crisis,all youth engaged with the 412 Youth Zone,ages 16 - 23,412-902-4068,"Allegheny Link provides an array of services to those with disabilities and those who are experiencing/at risk for homelessness. Services include eligibility screening, options counseling, and homeless services coordination.",Tue: 11am - 1pm,
